replicate,rank,top-1320 model,top-1320 acquired
1,0,0.037121212121212124,0.0
1,1,0.012121212121212121,0.0
1,2,0.022727272727272728,0.0
1,3,0.014393939393939395,0.0007575757575757576
1,4,0.01818181818181818,0.0007575757575757576
1,5,0.01818181818181818,0.0007575757575757576
2,0,0.08181818181818182,0.0
2,1,0.058333333333333334,0.0015151515151515152
2,2,0.08863636363636364,0.0022727272727272726
2,3,0.11666666666666667,0.005303030303030303
2,4,0.12272727272727273,0.00909090909090909
2,5,0.13560606060606062,0.013636363636363636
3,0,0.07272727272727272,0.0
3,1,0.04696969696969697,0.0
3,2,0.030303030303030304,0.0
3,3,0.08106060606060606,0.0015151515151515152
3,4,0.19772727272727272,0.00909090909090909
3,5,0.1803030303030303,0.01818181818181818
4,0,0.01893939393939394,0.0
4,1,0.012121212121212121,0.0
4,2,0.02878787878787879,0.0
4,3,0.03333333333333333,0.0007575757575757576
4,4,0.03333333333333333,0.004545454545454545
4,5,0.026515151515151516,0.007575757575757576
5,0,0.10909090909090909,0.0007575757575757576
5,1,0.09545454545454546,0.0007575757575757576
5,2,0.11287878787878788,0.003787878787878788
5,3,0.16893939393939394,0.008333333333333333
5,4,0.1409090909090909,0.016666666666666666
5,5,0.18333333333333332,0.024242424242424242
6,0,0.07196969696969698,0.0
6,1,0.09848484848484848,0.0030303030303030303
6,2,0.09772727272727273,0.004545454545454545
6,3,0.11893939393939394,0.008333333333333333
6,4,0.11969696969696969,0.011363636363636364
6,5,0.13636363636363635,0.015151515151515152
7,0,0.0659090909090909,0.0
7,1,0.16590909090909092,0.0
7,2,0.2545454545454545,0.007575757575757576
7,3,0.25227272727272726,0.016666666666666666
7,4,0.23484848484848486,0.02878787878787879
7,5,0.2818181818181818,0.03409090909090909
8,0,0.10151515151515152,0.0
8,1,0.13484848484848486,0.0015151515151515152
8,2,0.16287878787878787,0.005303030303030303
8,3,0.2606060606060606,0.011363636363636364
8,4,0.2553030303030303,0.024242424242424242
8,5,0.29848484848484846,0.035606060606060606
9,0,0.05378787878787879,0.0
9,1,0.07954545454545454,0.0007575757575757576
9,2,0.1143939393939394,0.0015151515151515152
9,3,0.15833333333333333,0.003787878787878788
9,4,0.13484848484848486,0.007575757575757576
9,5,0.1590909090909091,0.010606060606060607
10,0,0.04696969696969697,0.0
10,1,0.02878787878787879,0.0
10,2,0.03106060606060606,0.0
10,3,0.08409090909090909,0.0007575757575757576
10,4,0.0946969696969697,0.003787878787878788
10,5,0.09545454545454546,0.005303030303030303
11,0,0.017424242424242425,0.0
11,1,0.048484848484848485,0.0
11,2,0.04621212121212121,0.0007575757575757576
11,3,0.10454545454545454,0.0015151515151515152
11,4,0.075,0.005303030303030303
11,5,0.06060606060606061,0.011363636363636364
12,0,0.035606060606060606,0.0
12,1,0.05606060606060606,0.0007575757575757576
12,2,0.059848484848484845,0.0007575757575757576
12,3,0.11818181818181818,0.0007575757575757576
12,4,0.15303030303030302,0.006060606060606061
12,5,0.19166666666666668,0.017424242424242425
13,0,0.0446969696969697,0.0
13,1,0.025,0.004545454545454545
13,2,0.05909090909090909,0.005303030303030303
13,3,0.07651515151515151,0.006818181818181818
13,4,0.075,0.009848484848484848
13,5,0.08484848484848485,0.013636363636363636
14,0,0.08712121212121213,0.0
14,1,0.07424242424242425,0.0007575757575757576
14,2,0.06818181818181818,0.0015151515151515152
14,3,0.09318181818181819,0.0030303030303030303
14,4,0.08712121212121213,0.007575757575757576
14,5,0.11363636363636363,0.008333333333333333
15,0,0.06742424242424243,0.0
15,1,0.08257575757575758,0.0022727272727272726
15,2,0.09015151515151515,0.015909090909090907
15,3,0.10454545454545454,0.025757575757575757
15,4,0.08181818181818182,0.030303030303030304
15,5,0.13560606060606062,0.03409090909090909
16,0,0.0,0.0
16,1,0.012121212121212121,0.0
16,2,0.06136363636363636,0.0
16,3,0.12651515151515152,0.0022727272727272726
16,4,0.10075757575757575,0.008333333333333333
16,5,0.11666666666666667,0.017424242424242425
17,0,0.07424242424242425,0.0
17,1,0.14242424242424243,0.0007575757575757576
17,2,0.12954545454545455,0.004545454545454545
17,3,0.13712121212121212,0.00909090909090909
17,4,0.12348484848484849,0.011363636363636364
17,5,0.16666666666666666,0.015909090909090907
18,0,0.04242424242424243,0.0
18,1,0.11287878787878788,0.0015151515151515152
18,2,0.15075757575757576,0.006060606060606061
18,3,0.15151515151515152,0.01893939393939394
18,4,0.1462121212121212,0.02878787878787879
18,5,0.1643939393939394,0.035606060606060606
19,0,0.08257575757575758,0.0
19,1,0.19090909090909092,0.0007575757575757576
19,2,0.10303030303030303,0.006818181818181818
19,3,0.20227272727272727,0.015151515151515152
19,4,0.1787878787878788,0.024242424242424242
19,5,0.18787878787878787,0.031818181818181815
20,0,0.0022727272727272726,0.0
20,1,0.048484848484848485,0.0
20,2,0.038636363636363635,0.0022727272727272726
20,3,0.035606060606060606,0.004545454545454545
20,4,0.05606060606060606,0.006060606060606061
20,5,0.09318181818181819,0.006818181818181818
21,0,0.021212121212121213,0.0
21,1,0.09166666666666666,0.0
21,2,0.09318181818181819,0.0030303030303030303
21,3,0.08712121212121213,0.0030303030303030303
21,4,0.10151515151515152,0.006818181818181818
21,5,0.09924242424242424,0.00909090909090909
22,0,0.15378787878787878,0.0007575757575757576
22,1,0.24848484848484848,0.004545454545454545
22,2,0.23939393939393938,0.014393939393939395
22,3,0.2143939393939394,0.02803030303030303
22,4,0.2863636363636364,0.03106060606060606
22,5,0.27954545454545454,0.04015151515151515
23,0,0.01818181818181818,0.0
23,1,0.023484848484848483,0.0022727272727272726
23,2,0.015151515151515152,0.003787878787878788
23,3,0.03106060606060606,0.004545454545454545
23,4,0.030303030303030304,0.005303030303030303
23,5,0.07575757575757576,0.006818181818181818
24,0,0.10681818181818181,0.0
24,1,0.08181818181818182,0.003787878787878788
24,2,0.1553030303030303,0.006818181818181818
