replicate,rank,top-1320 model,top-1320 acquired
1,0,0.09393939393939393,0.0
1,1,0.1431818181818182,0.0030303030303030303
1,2,0.16590909090909092,0.006818181818181818
1,3,0.2143939393939394,0.012121212121212121
1,4,0.19696969696969696,0.019696969696969695
1,5,0.2037878787878788,0.026515151515151516
2,0,0.029545454545454545,0.0
2,1,0.029545454545454545,0.0007575757575757576
2,2,0.06893939393939394,0.0007575757575757576
2,3,0.08257575757575758,0.0022727272727272726
2,4,0.11287878787878788,0.009848484848484848
2,5,0.11363636363636363,0.017424242424242425
3,0,0.0803030303030303,0.0
3,1,0.13712121212121212,0.0015151515151515152
3,2,0.09242424242424242,0.004545454545454545
3,3,0.13560606060606062,0.00909090909090909
3,4,0.12045454545454545,0.017424242424242425
3,5,0.13257575757575757,0.025
4,0,0.15757575757575756,0.0
4,1,0.19015151515151515,0.0022727272727272726
4,2,0.18257575757575759,0.006060606060606061
4,3,0.1984848484848485,0.013636363636363636
4,4,0.24545454545454545,0.025757575757575757
4,5,0.2537878787878788,0.03257575757575758
5,0,0.0,0.0
5,1,0.005303030303030303,0.0
5,2,0.07954545454545454,0.0
5,3,0.10378787878787879,0.0015151515151515152
5,4,0.11060606060606061,0.0030303030303030303
5,5,0.09924242424242424,0.006818181818181818
6,0,0.03484848484848485,0.0
6,1,0.09772727272727273,0.0
6,2,0.12272727272727273,0.005303030303030303
6,3,0.09393939393939393,0.010606060606060607
6,4,0.0803030303030303,0.017424242424242425
6,5,0.09393939393939393,0.022727272727272728
7,0,0.008333333333333333,0.0
7,1,0.037121212121212124,0.0
7,2,0.06060606060606061,0.0015151515151515152
7,3,0.07651515151515151,0.0022727272727272726
7,4,0.08863636363636364,0.003787878787878788
7,5,0.2106060606060606,0.00909090909090909
8,0,0.021212121212121213,0.0
8,1,0.041666666666666664,0.0
8,2,0.023484848484848483,0.0
8,3,0.020454545454545454,0.0
8,4,0.015909090909090907,0.0
8,5,0.029545454545454545,0.0
9,0,0.08106060606060606,0.0007575757575757576
9,1,0.11666666666666667,0.006818181818181818
9,2,0.10984848484848485,0.013636363636363636
9,3,0.11893939393939394,0.015151515151515152
9,4,0.12424242424242424,0.022727272727272728
9,5,0.1159090909090909,0.030303030303030304
10,0,0.0696969696969697,0.0007575757575757576
10,1,0.05075757575757576,0.0015151515151515152
10,2,0.08333333333333333,0.0022727272727272726
10,3,0.07424242424242425,0.0022727272727272726
10,4,0.0803030303030303,0.003787878787878788
10,5,0.09090909090909091,0.007575757575757576
11,0,0.12348484848484849,0.0007575757575757576
11,1,0.11515151515151516,0.0030303030303030303
11,2,0.11060606060606061,0.00909090909090909
11,3,0.11287878787878788,0.013636363636363636
11,4,0.1143939393939394,0.017424242424242425
11,5,0.12878787878787878,0.021212121212121213
12,0,0.045454545454545456,0.0
12,1,0.07045454545454545,0.0007575757575757576
12,2,0.1431818181818182,0.005303030303030303
12,3,0.17575757575757575,0.012121212121212121
12,4,0.17575757575757575,0.025
